city,companyFullName,companyName,positionName,salary
上海,上海爱可生信息技术股份有限公司,爱可生,高级Golang开发工程师,15k-30k
上海,上海七牛信息技术有限公司,七牛云,后端研发工程师（Go/C++）,18k-30k
上海,上海弘连网络科技有限公司,弘连网络,C++/GO语言/研发工程师,8k-12k
上海,上海商派网络科技有限公司,商派软件,Golang研发工程师,20k-30k
上海,华建数创（上海）科技有限公司,华建数创,Golang,15k-30k
上海,上海银天下投资集团有限公司,银科控股,Go语言开发,24k-28k
上海,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,GO语言开发工程师（上海）,15k-30k
上海,上海达家迎信息科技有限公司,达家迎,golang后台工程师,30k-50k
上海,上海惠普软件研发中心,HP Enterprise,Golang开发工程师,15k-20k
上海,北京奇艺世纪科技有限公司,爱奇艺,资深Golang开发工程师,20k-35k
上海,北京字节跳动科技有限公司,字节跳动,高级golang开发工程师,25k-50k
上海,广州市利杰轩财税咨询有限公司,利杰轩,Go语言开发工程师,20k-35k
上海,乐至（上海）科技有限公司,乐至科技,服务端开发工程师（go语言）,14k-25k
上海,北京三快在线科技有限公司,美团点评,Golang 高级研发专家,30k-50k
上海,上海阿牛信息科技有限公司,华尔街见闻,机构业务资深开发工程师（Go 语言）,15k-30k
上海,上海爱可生信息技术股份有限公司,爱可生,高级Golang开发工程师,15k-30k
上海,上海七牛信息技术有限公司,七牛云,后端研发工程师（Go/C++）,18k-30k
上海,上海弘连网络科技有限公司,弘连网络,C++/GO语言/研发工程师,8k-12k
上海,上海商派网络科技有限公司,商派软件,Golang研发工程师,20k-30k
上海,华建数创（上海）科技有限公司,华建数创,Golang,15k-30k
上海,上海银天下投资集团有限公司,银科控股,Go语言开发,24k-28k
上海,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,GO语言开发工程师（上海）,15k-30k
上海,上海达家迎信息科技有限公司,达家迎,golang后台工程师,30k-50k
上海,上海惠普软件研发中心,HP Enterprise,Golang开发工程师,15k-20k
上海,北京奇艺世纪科技有限公司,爱奇艺,资深Golang开发工程师,20k-35k
上海,北京字节跳动科技有限公司,字节跳动,高级golang开发工程师,25k-50k
上海,广州市利杰轩财税咨询有限公司,利杰轩,Go语言开发工程师,20k-35k
上海,乐至（上海）科技有限公司,乐至科技,服务端开发工程师（go语言）,14k-25k
上海,北京三快在线科技有限公司,美团点评,Golang 高级研发专家,30k-50k
上海,上海阿牛信息科技有限公司,华尔街见闻,机构业务资深开发工程师（Go 语言）,15k-30k
上海,上海爱可生信息技术股份有限公司,爱可生,高级Golang开发工程师,15k-30k
上海,上海七牛信息技术有限公司,七牛云,后端研发工程师（Go/C++）,18k-30k
上海,上海弘连网络科技有限公司,弘连网络,C++/GO语言/研发工程师,8k-12k
上海,上海商派网络科技有限公司,商派软件,Golang研发工程师,20k-30k
上海,华建数创（上海）科技有限公司,华建数创,Golang,15k-30k
上海,上海银天下投资集团有限公司,银科控股,Go语言开发,24k-28k
上海,武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,GO语言开发工程师（上海）,15k-30k
上海,上海达家迎信息科技有限公司,达家迎,golang后台工程师,30k-50k
上海,上海惠普软件研发中心,HP Enterprise,Golang开发工程师,15k-20k
上海,北京奇艺世纪科技有限公司,爱奇艺,资深Golang开发工程师,20k-35k
上海,北京字节跳动科技有限公司,字节跳动,高级golang开发工程师,25k-50k
上海,广州市利杰轩财税咨询有限公司,利杰轩,Go语言开发工程师,20k-35k
上海,乐至（上海）科技有限公司,乐至科技,服务端开发工程师（go语言）,14k-25k
上海,北京三快在线科技有限公司,美团点评,Golang 高级研发专家,30k-50k
上海,上海阿牛信息科技有限公司,华尔街见闻,机构业务资深开发工程师（Go 语言）,15k-30k
上海,上海爱可生信息技术股份有限公司,爱可生,高级Golang开发工程师,15k-30k
